Entry date & time,Settlement,Bank,Liability person,Reference Number,Operated currency,Amount,Trader Wallet Id
,Bank,888888888801,,FIXTURE-DEP-0057,,1057,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0058,,1058,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0059,,1059,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0060,,1060,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0061,,1061,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0062,,1062,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0063,,1063,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0064,,1064,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0065,,1065,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0066,,1066,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0067,,1067,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0068,,1068,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0069,,1069,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0070,,1070,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0071,,1071,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0072,,1072,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0073,,1073,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0074,,1074,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0075,,1075,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0076,,1076,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0077,,1077,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0078,,1078,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0079,,1079,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0080,,1080,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0081,,1081,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0082,,1082,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0083,,1083,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0084,,1084,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0085,,1085,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0086,,1086,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0087,,1087,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0088,,1088,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0089,,1089,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0090,,1090,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0091,,1091,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0092,,1092,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0093,,1093,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0094,,1094,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0095,,1095,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0096,,1096,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0097,,1097,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0098,,1098,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0099,,1099,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0100,,1100,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0101,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0102,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0103,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0104,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0105,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0106,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0107,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0108,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0109,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0110,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0111,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0112,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0113,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0114,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0115,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0116,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0117,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0118,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0119,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0120,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0121,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0122,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0123,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0124,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0125,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0126,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0127,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0128,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0129,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0130,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0131,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0132,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0133,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0134,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0135,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0136,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0137,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0138,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0139,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0140,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0141,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0142,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0143,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0144,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0145,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0146,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0147,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0148,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0149,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0150,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0151,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0152,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0153,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0154,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0155,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0156,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0157,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0158,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0159,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0160,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0161,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0162,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0163,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0164,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0165,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0166,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0167,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0168,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0169,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0170,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0171,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0172,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0173,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0174,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0175,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0176,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0177,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0178,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0179,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0180,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0181,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0182,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0183,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0184,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0185,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0186,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0187,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0188,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0189,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0190,USD,50,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0191,USD,51,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0192,USD,52,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0193,USD,53,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0194,USD,54,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0195,USD,55,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0196,USD,56,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0197,USD,57,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0198,USD,58,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0199,USD,59,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0200,USD,50,BULK-PLAYER-001
